,AAPL,AIG,AMZN,AXP,BA,BAC,CAJ,CAT,CL,CMCSA,COP,CSCO,CVC,CVS,CVX,DD,DELL,F,GD,GE,GS,GSK,HD,HMC,HPQ,IBM,JPM,K,KMB,KO,LMT,MAR,MCD,MMM,MSFT,MTU,NAV,NOC,NVS,PEP,PFE,PG,R,RTN,SAP,SNE,SNY,TM,TOT,TWX,TXN,UN,VLO,WAG,WFC,WMT,XOM,XRX,YHOO
2009-10-27,188.65,28.03,122.07,33.67,42.67,15.19,38.12,51.13,34.89,13.49,32.61,21.81,12.05,33.84,65.31,27.66,14.79,6.9,58.23,12.9,168.88,31.96,23.15,32.38,43.64,110.55,39.87,43.86,51.84,23.46,58.27,23.15,51.17,67.89,25.27,5.01,34.78,39.99,42.9,53.35,14.41,49.63,38.34,39.77,47.75,29.22,30.95,79.15,47.21,25.28,21.38,25.73,16.25,33.9,25.82,44.41,66.33,7.03,16.69
2009-10-28,183.9,29.12,121.64,32.47,42.2,14.76,37.25,49.09,34.81,13.43,31.7,21.33,11.68,33.44,64.71,27.16,14.11,6.55,56.92,12.46,162.78,31.76,22.44,31.65,43.3,111.33,38.76,43.48,51.42,23.48,56.86,22.15,50.84,66.51,24.77,5.0,32.96,39.59,42.57,53.34,14.37,49.68,36.7,39.42,43.03,28.63,30.66,77.73,46.21,24.61,21.16,25.36,15.68,33.35,24.97,44.43,65.38,6.82,16.04
2009-10-29,187.67,29.87,122.58,34.13,43.62,15.47,38.58,51.63,35.38,13.76,32.88,21.79,12.27,34.19,66.47,27.9,14.45,6.87,56.35,12.85,168.85,32.38,23.07,32.21,44.61,112.59,40.28,44.69,52.01,23.74,57.83,23.25,51.28,67.43,24.94,5.47,33.95,39.74,43.24,53.69,14.65,51.68,37.34,39.64,43.87,30.54,30.62,80.08,47.2,25.52,21.59,26.53,15.88,34.53,25.98,44.88,65.48,7.02,16.13
2009-10-30,180.17,27.71,118.81,32.63,42.72,14.34,37.66,49.66,35.24,13.3,32.15,21.14,12.01,33.15,65.27,26.93,13.98,6.59,55.51,12.32,160.9,32.19,22.34,30.82,43.79,110.52,37.94,44.83,51.53,23.39,57.25,22.4,50.82,65.72,24.51,5.31,33.14,39.39,42.85,52.96,14.22,50.35,36.3,39.13,42.25,29.39,29.7,78.89,45.37,25.06,21.17,25.86,15.17,34.02,25.02,44.24,63.46,6.84,15.9
2009-11-02,180.95,28.28,118.84,33.42,43.14,14.39,37.78,50.05,35.27,13.31,32.02,21.31,12.17,33.58,65.35,27.31,13.97,7.14,55.79,12.51,161.38,31.83,22.31,31.01,44.44,110.47,38.67,45.01,52.86,23.57,57.32,22.37,51.29,66.35,24.64,5.41,33.49,39.72,43.16,53.0,14.15,51.17,36.41,39.52,42.93,28.9,29.36,79.12,45.62,25.08,21.17,25.88,14.88,34.81,25.11,44.77,63.88,6.82,15.85
2009-11-03,180.41,32.32,118.37,33.76,42.99,14.55,37.74,50.92,34.75,13.31,32.51,21.23,12.56,33.27,65.4,27.55,14.11,7.0,55.37,12.38,162.26,31.62,22.26,30.99,43.84,111.02,38.78,44.46,52.24,23.31,57.76,22.67,51.36,66.16,24.33,5.39,34.92,39.38,43.0,52.53,14.1,50.85,37.22,39.54,43.49,29.01,29.22,79.07,45.93,25.09,21.19,25.6,15.06,34.57,25.22,44.43,63.52,6.88,15.7
2009-11-04,182.38,29.83,117.1,33.68,43.34,14.46,37.53,50.7,35.1,12.89,32.83,21.58,12.33,33.95,65.04,27.24,14.1,6.84,56.52,12.26,160.27,31.9,22.22,31.32,44.07,111.14,38.34,45.06,52.79,23.47,58.59,22.65,52.27,66.17,24.8,5.28,34.19,39.66,43.09,52.81,14.27,51.24,36.87,39.95,43.38,28.69,29.76,79.46,46.46,25.04,21.28,25.75,14.84,35.5,24.43,44.86,63.13,7.21,15.69
2009-11-05,185.46,32.37,120.61,35.35,44.87,14.88,37.49,52.3,35.67,13.02,33.28,22.17,12.89,27.11,65.86,28.25,14.42,7.01,57.89,12.47,163.95,32.03,22.82,31.17,45.07,112.8,39.84,45.43,53.55,23.87,60.64,23.32,53.3,67.41,25.16,5.43,34.84,40.66,43.37,53.55,14.35,52.49,37.87,40.69,43.95,28.73,29.8,80.58,47.26,25.9,21.83,25.5,14.85,36.03,24.86,45.66,64.19,7.23,15.9
2009-11-06,185.75,29.24,126.2,34.85,44.79,14.8,37.82,51.95,35.79,13.38,33.38,22.07,12.93,27.98,66.11,28.25,14.37,7.3,58.06,13.25,162.42,32.07,23.22,31.01,45.36,113.66,39.49,45.4,53.68,23.91,61.39,23.36,53.51,67.36,25.21,5.4,34.55,41.15,43.55,54.01,14.3,52.98,37.83,41.11,43.59,28.87,29.52,78.16,47.13,25.8,21.7,25.55,14.62,35.58,24.71,45.64,64.26,7.22,15.94
2009-11-09,192.56,29.82,126.67,36.58,46.3,15.51,38.27,54.11,36.4,13.89,33.86,22.23,13.32,29.02,66.22,29.29,15.03,7.7,59.59,13.7,166.95,32.75,23.87,31.85,46.12,115.97,40.28,45.81,54.01,24.35,62.91,24.03,54.31,68.96,25.62,5.53,35.66,42.37,44.19,54.47,14.69,53.69,38.96,41.63,44.03,29.49,30.5,79.12,48.44,26.32,22.23,26.16,14.65,36.0,25.87,46.3,64.88,7.35,16.02
2009-11-10,194.01,30.98,130.15,37.17,45.37,15.76,38.1,54.08,36.51,13.62,34.32,21.91,13.24,28.04,66.8,28.91,14.9,7.76,58.92,13.64,166.89,32.73,23.88,31.66,46.1,116.81,40.12,45.94,54.15,24.49,62.09,24.05,54.0,69.67,25.64,5.57,35.65,42.39,44.31,54.29,14.8,53.7,39.03,41.79,43.81,29.23,30.48,76.4,48.6,26.37,22.61,26.37,14.61,35.61,25.6,46.58,64.66,7.14,16.04
2009-11-11,194.27,30.29,129.91,37.51,45.69,16.16,38.3,54.17,36.62,13.85,34.05,22.16,13.03,28.17,66.95,29.21,15.08,7.84,59.29,13.68,170.05,32.64,24.31,32.08,46.13,117.07,40.25,45.87,53.93,24.63,62.48,24.31,54.47,69.64,25.74,5.72,35.4,43.07,44.1,54.75,14.85,54.02,39.82,42.22,44.52,29.0,30.57,76.79,48.81,26.55,22.87,26.37,14.75,35.39,26.24,47.17,64.93,7.18,16.09
2009-11-12,193.07,29.88,130.53,37.0,45.33,15.79,37.56,52.82,36.08,14.06,33.45,21.68,12.89,27.86,66.02,29.01,14.95,7.72,59.06,13.61,168.76,32.82,24.25,31.83,45.86,116.21,39.33,46.07,53.57,24.55,61.67,23.9,53.9,68.97,25.95,5.63,35.41,42.91,43.55,53.59,14.85,53.21,38.71,41.97,44.17,28.24,30.54,77.72,47.98,26.24,22.9,26.13,14.38,35.3,25.71,47.41,64.03,7.15,16.0
2009-11-13,195.42,29.99,132.97,37.79,45.69,15.71,37.99,53.01,36.52,14.15,33.84,21.97,13.18,28.41,66.46,29.38,14.9,7.92,59.91,13.53,167.13,32.8,24.34,32.03,46.05,116.92,38.96,46.42,53.96,24.78,63.31,24.1,55.13,69.07,26.19,5.19,35.64,43.42,43.91,54.17,14.83,53.48,39.01,42.37,44.89,28.35,30.75,78.25,48.7,26.58,22.96,26.27,14.42,35.54,25.22,47.37,64.54,7.15,15.93
2009-11-16,197.5,29.46,131.59,38.81,47.31,15.61,38.33,54.47,36.93,14.54,34.49,22.12,13.74,28.35,67.62,29.92,15.44,8.2,60.38,13.83,167.59,33.17,24.61,32.37,46.88,118.01,39.09,46.44,54.63,24.9,64.07,24.78,55.95,69.69,26.11,5.38,36.0,44.01,44.57,54.6,15.12,54.05,39.51,43.04,45.66,28.63,31.32,80.2,49.43,26.91,23.42,26.82,14.43,35.55,25.7,47.34,66.28,7.29,16.07
2009-11-17,197.85,29.75,131.25,38.74,47.36,15.51,38.91,54.01,37.12,14.22,34.39,22.32,13.73,28.59,67.79,30.22,15.43,8.45,60.14,13.85,166.98,33.11,24.03,32.11,47.35,118.4,39.2,46.45,55.0,24.96,63.51,24.54,55.12,70.37,26.63,5.48,35.58,44.02,44.13,54.75,15.12,54.09,38.84,43.39,45.81,28.45,30.95,80.31,49.26,27.08,23.35,26.88,14.27,35.51,25.84,47.78,66.82,7.27,16.05
2009-11-18,196.86,29.8,131.29,38.94,46.9,16.08,38.63,53.58,38.48,13.87,34.32,22.24,13.68,28.82,67.89,30.19,15.54,8.42,59.61,13.91,167.26,33.05,24.29,31.62,46.58,117.95,39.4,46.4,54.88,24.83,62.72,24.2,55.47,69.95,26.73,5.36,36.03,43.62,44.32,54.49,15.33,54.17,38.96,43.56,45.71,28.25,30.91,79.39,49.26,27.31,23.24,26.69,14.22,35.25,26.29,48.22,67.03,7.23,15.98
2009-11-19,191.65,29.39,128.99,38.53,46.37,15.81,37.11,52.86,37.83,13.79,33.67,21.94,13.56,29.19,66.53,29.63,15.35,8.22,58.76,13.62,163.41,32.83,24.13,30.32,45.97,117.39,38.64,46.08,54.56,24.96,62.65,23.67,54.98,69.46,26.44,5.13,34.54,42.82,43.96,54.12,15.27,53.95,38.01,43.06,44.98,26.98,30.31,77.51,48.69,26.87,22.46,26.3,13.83,35.22,25.8,48.57,66.48,7.08,15.61
2009-11-20,191.09,28.93,129.66,38.34,46.61,15.82,38.03,52.26,37.63,13.76,33.36,21.74,13.44,29.72,66.04,29.55,13.82,8.13,58.84,13.47,160.75,32.87,24.2,30.42,46.17,116.86,38.56,46.2,54.56,25.22,63.33,23.43,55.46,68.91,26.3,5.31,33.42,43.21,43.82,54.29,15.48,53.64,37.05,43.72,44.55,26.8,30.3,76.97,48.01,26.32,22.33,26.19,13.92,35.17,25.39,48.33,66.24,7.13,15.38
2009-11-23,196.78,29.07,133.0,38.99,47.45,16.02,38.37,52.44,37.9,13.84,33.55,22.15,13.28,29.95,67.73,29.77,14.31,8.22,59.77,13.85,162.63,33.36,24.49,30.57,47.08,118.0,39.31,46.86,55.34,25.56,64.32,23.54,55.48,69.89,26.58,5.34,33.33,44.04,45.16,54.65,15.62,54.45,37.76,44.45,45.16,27.31,31.07,77.48,49.19,26.71,22.69,26.57,13.72,35.57,25.57,48.69,67.41,7.22,15.45
2009-11-24,195.41,28.84,132.94,38.81,46.85,15.83,37.64,52.31,38.12,13.87,33.75,22.0,13.27,29.68,67.98,29.69,13.85,8.29,59.6,13.93,161.81,33.47,24.53,30.21,46.31,117.75,38.58,46.89,55.41,25.54,64.55,22.91,55.68,69.78,26.55,5.16,32.76,43.96,45.61,54.66,15.44,54.51,37.4,44.64,44.71,26.62,31.07,76.05,49.58,26.32,22.82,26.67,13.54,35.55,25.38,48.84,67.66,7.21,15.24
2009-11-25,195.17,28.58,134.03,39.08,47.72,15.68,38.33,53.25,37.85,13.82,33.89,22.0,13.42,29.61,68.51,30.1,13.89,8.29,60.31,13.98,159.72,33.94,24.79,31.6,46.18,117.15,38.29,46.67,55.62,25.5,65.41,23.25,55.88,70.05,26.45,5.13,32.66,44.26,46.07,55.26,15.67,54.57,37.45,44.96,45.44,27.46,31.74,77.86,49.96,26.21,22.95,26.8,13.82,35.4,25.35,48.94,68.1,7.2,15.3
2009-11-27,191.73,27.44,131.74,38.25,47.29,15.21,37.28,51.81,37.48,13.65,33.26,21.66,13.15,29.3,67.24,29.46,13.68,8.22,59.38,13.78,155.22,33.45,24.58,30.89,45.28,115.7,37.54,46.07,55.24,25.27,64.68,22.65,55.62,69.01,25.94,5.22,32.18,43.55,45.68,54.49,15.38,54.23,36.55,44.62,44.57,26.68,30.91,77.02,48.61,25.82,22.79,26.14,13.53,35.2,24.72,48.65,66.68,7.09,15.0
2009-11-30,191.08,23.4,135.91,39.18,47.25,15.59,38.22,52.66,37.73,13.44,33.16,21.68,13.14,29.12,67.13,29.61,13.66,8.37,58.34,13.85,160.76,32.83,24.36,30.84,45.27,116.3,38.59,46.06,55.59,25.28,64.79,23.06,55.31,69.63,26.11,5.49,33.01,43.39,45.86,54.42,15.32,54.12,36.49,44.53,44.67,26.69,30.54,78.54,48.22,25.71,22.83,26.11,13.43,35.09,25.54,48.57,66.85,7.01,14.97
2009-12-01,188.27,25.42,138.5,38.68,48.43,15.64,39.26,53.82,38.43,13.72,33.48,22.16,13.21,29.28,68.01,30.06,13.39,8.36,59.44,13.98,158.84,33.57,25.13,32.21,45.76,117.76,38.35,46.4,56.3,25.67,66.22,23.1,55.56,70.7,26.64,5.69,34.66,43.75,46.32,55.86,15.89,54.61,37.03,44.77,44.97,27.44,31.63,81.45,49.27,26.12,23.42,26.91,13.59,35.53,25.5,48.75,67.72,7.13,15.13
2009-12-02,187.56,25.7,142.25,38.44,48.49,15.4,38.63,53.16,38.68,13.7,33.21,22.12,13.03,29.22,67.72,30.3,13.21,8.48,59.39,13.89,157.92,33.55,25.43,32.9,45.19,117.09,38.08,46.43,56.79,25.62,65.6,23.01,54.66,70.5,26.44,5.56,32.42,43.76,46.0,56.06,15.8,54.85,37.29,44.85,43.26,27.0,31.98,81.98,49.43,25.86,23.43,27.09,13.54,34.47,25.01,48.59,67.5,7.1,15.31
2009-12-03,187.8,24.63,141.17,36.41,48.48,15.51,39.67,52.49,38.38,14.59,32.78,22.08,13.03,28.93,67.06,29.83,13.02,8.42,59.12,13.83,155.68,33.59,25.07,33.45,45.17,117.4,37.6,46.19,56.14,25.31,64.99,23.15,54.19,69.37,26.48,5.53,32.88,43.48,46.01,55.28,15.71,54.3,36.72,44.54,43.18,27.98,31.79,84.59,49.36,26.04,23.87,27.14,13.5,34.11,24.13,48.48,66.78,7.06,15.11
2009-12-04,184.78,24.82,137.58,36.81,49.3,16.02,41.04,52.58,38.19,14.79,32.45,22.39,13.1,28.89,67.16,27.7,13.02,8.42,59.79,14.0,158.47,33.84,25.2,34.13,45.94,117.13,37.91,46.39,56.0,25.41,65.62,24.36,53.86,70.35,26.62,5.57,32.76,44.25,45.82,56.24,15.59,54.34,38.29,45.5,42.95,28.52,31.68,84.3,49.41,26.29,24.24,27.08,13.87,34.16,24.56,48.3,66.12,7.2,15.19
2009-12-07,180.6,24.86,134.21,36.91,50.33,15.64,41.33,51.91,37.19,15.84,32.55,22.43,13.4,28.97,67.24,27.75,12.86,8.39,60.09,13.9,155.25,33.75,25.33,33.61,45.41,116.93,37.46,46.33,55.43,25.58,66.0,24.01,54.16,70.05,26.45,5.5,33.15,44.42,45.78,56.57,15.22,54.23,37.84,45.62,42.35,28.45,31.2,82.9,49.33,26.22,24.03,27.0,13.83,34.0,24.01,48.91,65.7,7.19,15.45
2009-12-08,181.48,24.72,134.11,36.65,50.18,15.16,41.28,50.85,36.75,15.92,31.99,22.06,13.42,28.7,66.03,27.09,12.39,8.3,60.04,13.59,153.35,33.29,24.84,33.62,45.16,116.71,37.43,46.1,55.19,25.49,65.15,24.11,53.0,69.33,26.25,5.59,34.32,43.55,45.64,55.91,14.97,53.7,37.41,45.25,41.5,28.67,31.16,83.6,48.26,25.65,23.77,26.3,13.7,33.46,23.71,48.45,64.97,7.1,15.45
2009-12-09,189.06,24.44,131.31,37.35,50.01,15.14,41.29,50.67,36.97,16.08,32.17,22.11,13.56,29.14,66.29,27.05,12.68,8.34,60.11,13.53,157.71,32.92,24.73,33.52,46.09,118.17,37.41,46.25,54.52,25.56,63.26,24.0,52.99,71.69,26.38,5.38,34.23,43.07,45.1,54.43,15.38,54.03,37.47,44.77,41.57,28.43,31.17,84.02,48.25,26.25,23.46,26.36,13.76,34.5,23.65,48.39,64.82,7.19,15.18
2009-12-10,187.75,23.84,135.38,37.68,49.6,14.97,42.2,51.35,37.11,16.12,32.6,22.18,13.73,29.58,66.6,27.33,12.8,8.52,60.21,13.49,157.98,33.29,25.12,33.24,46.26,119.05,37.48,46.42,54.93,25.89,63.74,24.23,53.39,72.54,26.52,5.22,34.56,43.38,44.67,54.47,15.44,54.03,37.42,45.14,41.32,28.34,31.32,83.42,48.54,27.35,23.42,26.82,14.16,34.6,23.07,48.94,64.48,7.17,15.49
2009-12-11,186.07,23.38,134.15,38.15,50.13,15.38,42.18,51.87,37.61,16.18,32.62,22.03,13.69,30.26,66.89,27.6,12.69,8.47,61.09,13.76,157.29,33.44,25.57,33.69,46.18,119.36,37.2,47.04,55.02,26.12,64.42,24.28,53.92,73.5,26.5,5.13,34.28,43.67,44.4,53.97,15.43,54.11,37.54,45.58,41.79,29.0,30.97,84.34,48.74,27.46,23.15,27.06,14.04,35.02,23.15,48.91,64.86,7.22,15.74
2009-12-14,188.28,23.97,131.38,38.66,50.53,15.38,42.33,52.58,37.86,16.11,32.73,22.09,13.64,30.39,66.46,28.0,12.75,8.55,62.55,13.79,157.39,33.97,25.91,33.85,46.84,119.59,37.94,46.93,55.29,26.09,65.29,24.85,54.34,73.65,26.73,4.98,36.03,44.84,44.71,53.71,15.51,54.69,38.7,46.18,42.39,29.3,31.18,83.49,48.91,27.32,23.45,27.19,14.19,34.48,23.22,48.39,62.06,7.48,15.81
2009-12-15,185.59,23.84,130.23,38.36,50.19,14.95,41.91,52.49,37.87,16.11,32.45,21.76,13.64,29.83,66.55,27.57,13.07,8.84,61.68,13.61,154.2,33.91,26.05,33.93,47.12,118.27,37.11,46.53,55.27,26.1,65.11,24.93,54.22,74.36,26.65,5.01,35.58,44.19,44.34,53.72,15.42,53.92,38.71,46.1,41.75,28.99,31.1,83.19,48.74,27.07,22.96,27.3,14.18,34.16,23.38,48.31,61.6,7.61,15.74
2009-12-16,186.41,23.86,128.36,38.65,49.7,15.03,41.85,52.52,37.92,16.06,32.58,21.73,13.64,29.05,67.0,27.97,13.25,8.93,61.48,13.56,156.33,33.94,25.99,33.99,47.46,118.47,37.56,46.23,55.23,25.82,64.99,25.01,54.59,73.48,26.72,5.37,35.4,44.05,44.66,53.45,15.52,53.96,38.58,45.82,42.61,29.01,31.54,84.13,49.23,26.98,23.09,27.36,14.13,34.51,23.54,47.72,60.94,7.65,15.79
2009-12-17,183.38,23.25,126.91,37.89,49.11,14.62,41.25,51.89,37.14,15.69,32.16,21.48,13.55,29.3,66.05,27.41,13.29,8.84,60.65,13.65,152.49,33.21,25.85,33.52,46.73,117.26,36.57,45.68,54.49,25.18,63.83,24.94,54.15,72.35,26.28,5.09,34.75,43.87,44.46,52.88,15.36,53.46,38.51,45.39,41.97,28.58,30.87,83.11,47.99,26.49,22.64,26.87,14.11,33.67,23.75,47.22,60.75,7.67,15.82
2009-12-18,186.8,23.23,128.48,37.94,48.18,14.79,41.35,51.58,37.03,15.81,31.9,21.62,13.57,29.28,66.15,27.29,13.29,9.11,60.41,13.47,154.63,33.09,25.72,33.76,47.59,117.73,37.19,45.79,53.85,25.16,64.05,25.1,54.37,72.8,26.95,5.14,35.18,44.12,44.71,52.39,15.43,53.43,38.76,45.33,43.25,28.64,31.46,82.92,47.32,26.45,22.98,26.94,14.11,33.06,24.4,47.3,60.74,7.62,16.14
2009-12-21,189.47,23.12,132.79,38.42,48.96,15.03,41.11,51.95,37.3,15.93,32.41,21.9,13.72,30.33,66.67,27.53,13.65,9.1,60.72,13.46,156.77,33.11,25.99,33.29,48.05,118.41,38.05,45.7,54.83,25.27,63.99,25.16,54.8,73.21,27.1,5.24,35.51,44.5,44.38,53.27,15.69,53.21,39.57,45.77,43.67,28.58,31.43,82.36,48.53,27.27,23.33,27.16,14.46,33.04,24.91,47.79,61.01,7.72,15.88
2009-12-22,191.51,25.59,133.75,38.8,49.68,15.08,41.68,52.21,37.3,15.77,32.57,22.01,13.6,30.34,66.66,28.0,13.65,9.32,60.37,13.38,155.96,33.49,26.29,33.58,48.48,119.59,38.09,46.29,54.61,25.31,63.47,25.06,55.07,73.69,27.36,5.16,38.56,44.43,44.72,53.4,15.69,53.21,38.91,45.41,43.55,29.13,31.71,83.41,49.31,26.52,23.15,27.58,14.41,33.36,24.74,47.74,61.07,7.81,15.98
2009-12-23,193.17,24.24,138.94,38.6,49.55,14.95,41.93,52.6,37.39,15.69,32.34,22.03,13.5,30.14,66.27,28.31,13.87,9.49,60.37,13.41,155.05,33.32,26.03,33.77,48.51,119.66,37.75,46.69,54.62,25.32,63.12,25.08,55.41,73.9,27.45,5.2,40.09,44.24,45.04,53.45,15.66,53.22,39.0,44.94,43.69,29.36,31.94,83.75,49.77,26.36,22.86,27.52,14.3,33.78,24.46,47.72,60.79,7.78,16.67
2009-12-24,199.8,24.82,138.47,39.04,50.02,15.01,43.84,52.61,37.26,15.75,32.59,22.2,13.7,30.18,66.61,28.62,14.31,9.54,60.5,13.43,155.37,33.48,26.18,33.84,48.86,120.18,38.05,47.3,54.42,25.39,63.01,25.04,55.46,74.22,27.52,5.1,40.62,44.37,45.23,53.69,15.68,53.19,39.12,45.15,43.73,29.31,32.07,84.91,50.16,26.3,23.32,27.62,14.42,33.82,24.68,47.97,61.15,7.87,16.72
2009-12-28,202.26,25.96,139.31,38.45,49.71,15.04,43.12,52.77,37.17,15.65,32.77,22.31,13.66,30.42,66.9,28.86,14.12,9.6,60.7,13.34,155.17,33.62,26.19,34.11,48.76,121.78,37.89,47.27,54.74,25.39,63.51,24.97,55.63,75.03,27.67,5.05,39.7,45.0,45.16,53.87,15.71,53.17,38.65,45.62,44.11,29.58,32.48,84.55,50.53,26.25,23.01,27.8,14.21,33.66,24.37,48.31,61.52,7.72,16.88
2009-12-29,199.86,26.09,139.41,38.29,49.78,14.88,42.69,52.47,37.13,15.66,32.54,22.33,13.68,30.66,66.42,29.02,13.85,9.52,60.68,13.43,155.51,33.6,26.27,34.19,48.58,121.36,37.68,47.29,54.76,25.52,64.32,25.11,55.61,75.64,27.87,4.96,39.7,45.0,45.26,53.82,15.65,53.45,38.47,45.56,44.09,29.35,32.43,85.06,50.46,26.45,22.9,27.8,14.2,33.6,24.3,48.43,61.31,7.85,16.92
2009-12-30,202.29,25.22,136.49,38.21,49.55,14.83,42.62,52.35,37.13,15.65,32.66,22.41,13.68,30.72,66.8,29.16,14.31,9.4,60.82,13.35,157.95,33.64,26.15,33.79,48.92,122.02,37.72,47.3,54.75,25.49,63.86,24.78,55.0,75.44,27.49,4.96,39.48,45.0,45.07,54.0,15.6,53.27,38.02,45.36,44.24,29.3,31.99,84.41,50.19,26.27,23.45,27.63,14.25,33.5,24.43,48.6,61.24,7.92,16.98
2009-12-31,201.42,24.71,134.52,37.95,48.8,14.82,42.32,51.4,36.81,15.46,32.72,22.18,13.56,30.25,66.23,28.84,13.89,9.41,60.35,13.16,159.98,33.44,25.97,33.74,47.6,120.48,37.85,46.6,54.17,25.19,63.22,24.43,54.6,74.33,27.06,4.92,38.65,44.22,44.9,53.55,15.33,52.63,37.06,44.79,43.69,29.0,31.59,84.16,49.66,26.17,23.52,27.4,14.16,33.14,24.59,47.83,60.73,7.74,16.78
2010-01-04,204.55,24.63,133.9,38.33,50.65,15.44,43.23,52.81,37.13,15.65,33.68,22.88,13.89,30.97,68.01,29.34,14.07,9.68,61.25,13.44,164.0,34.01,25.73,34.53,48.47,121.91,38.96,46.28,54.64,25.21,64.47,24.77,54.9,74.64,27.48,4.97,40.15,45.01,43.39,53.94,15.96,53.05,37.4,45.39,43.97,30.02,32.84,85.08,51.09,26.42,23.48,27.91,15.12,33.66,24.89,48.53,61.58,7.9,17.1
2010-01-05,204.91,24.17,134.69,38.24,52.31,15.94,43.57,53.44,37.43,15.44,33.71,22.78,13.85,30.85,68.49,29.06,14.38,10.32,61.35,13.51,166.9,33.11,25.92,34.29,48.68,120.44,39.72,46.39,54.69,24.9,65.15,24.92,54.48,74.18,27.49,4.99,39.72,45.09,43.35,54.59,15.73,53.07,36.73,44.73,43.69,29.88,32.42,83.77,51.2,26.13,23.34,27.23,15.51,33.39,25.57,48.05,61.82,7.9,17.23
2010-01-06,201.65,24.01,132.25,38.86,53.9,16.13,43.52,53.6,37.34,15.33,33.96,22.63,13.77,30.58,68.5,29.15,14.1,10.7,61.3,13.44,165.12,32.72,25.83,33.99,48.22,119.66,39.94,46.39,54.02,24.89,64.19,24.99,53.74,75.23,27.32,5.14,40.95,45.26,43.2,54.05,15.68,52.82,36.22,44.1,44.71,29.85,32.4,84.84,51.19,26.06,23.17,26.99,15.9,33.14,25.61,47.94,62.36,7.83,17.17
2010-01-07,201.28,23.55,130.0,39.49,56.08,16.66,42.31,53.82,37.2,15.65,33.82,22.73,13.9,31.71,68.24,29.45,14.24,10.98,61.47,14.14,168.35,32.83,26.14,33.41,48.24,119.24,40.73,46.85,53.66,24.83,62.43,25.09,54.13,75.28,27.03,5.18,41.0,45.73,42.82,53.7,15.62,52.53,35.56,44.64,45.89,29.8,32.23,83.79,51.07,25.79,23.24,26.55,16.02,33.33,26.54,47.97,62.16,7.87,16.7
2010-01-08,202.61,24.18,133.52,39.46,55.54,16.51,41.99,54.42,36.53,15.6,34.12,22.85,13.8,31.93,68.36,29.07,14.37,11.0,61.47,14.44,165.17,32.53,26.01,34.18,48.6,120.44,40.63,46.76,53.32,24.37,63.43,25.14,54.08,75.81,27.22,5.2,40.55,45.48,43.16,53.53,15.75,52.46,36.31,45.6,46.23,30.41,32.33,85.76,51.38,25.83,23.78,26.91,15.8,33.38,26.29,47.73,61.91,7.84,16.7
2010-01-11,200.83,24.42,130.31,39.01,54.88,16.66,42.12,57.84,36.37,15.5,34.32,22.79,13.8,31.87,69.57,29.34,14.37,11.4,62.61,14.58,162.56,32.95,25.28,34.36,48.45,119.18,40.49,46.79,53.25,24.87,63.74,25.09,54.5,75.51,26.87,5.19,40.85,45.53,43.94,53.46,15.87,52.26,36.99,46.07,47.26,30.6,32.87,86.2,52.15,26.2,23.47,27.07,15.65,33.43,26.24,48.51,62.61,8.03,16.74
2010-01-12,198.54,23.45,127.35,39.53,54.48,16.1,42.68,56.13,36.16,15.23,33.59,22.42,13.61,31.52,69.17,29.12,14.57,11.17,62.23,14.59,159.02,33.02,25.11,35.7,48.03,120.13,39.55,46.77,53.58,25.14,63.73,24.87,54.8,75.57,26.7,5.29,40.17,45.57,43.45,54.21,15.82,52.85,35.15,46.07,46.24,31.57,32.6,89.5,51.23,25.6,22.49,27.0,15.4,33.15,25.58,48.98,62.29,8.1,16.68
2010-01-13,201.34,23.95,129.11,39.65,55.14,16.35,42.2,56.21,36.33,15.47,33.8,22.83,14.11,31.9,68.65,29.37,14.58,10.99,63.26,14.64,160.2,33.02,25.25,36.26,48.26,119.87,40.24,47.06,54.09,25.2,64.5,25.22,54.73,75.33,26.94,5.3,40.76,46.94,43.73,54.65,16.19,53.4,36.21,46.72,47.03,33.16,32.75,89.19,50.98,26.06,22.59,27.26,15.27,33.46,26.04,49.23,62.04,8.19,16.9
2010-01-14,200.18,23.57,127.35,40.15,55.5,16.55,42.29,55.9,36.04,15.37,33.94,23.12,14.39,31.88,68.43,29.2,14.22,11.07,63.28,14.53,159.69,33.23,25.4,36.47,48.53,121.78,40.64,47.17,53.58,25.25,64.47,26.62,54.79,75.08,27.49,5.42,41.34,46.95,44.25,55.31,16.34,53.45,36.5,47.28,46.81,33.73,33.42,90.93,50.48,25.86,22.31,27.38,15.45,33.49,26.41,48.51,62.05,8.13,17.12
2010-01-15,196.83,23.12,127.14,39.88,54.83,16.0,41.87,54.59,35.85,15.34,33.96,22.61,14.13,31.85,68.15,29.13,13.93,10.92,62.85,14.3,156.54,32.38,25.64,36.72,48.49,121.29,39.72,47.6,52.9,24.88,64.4,26.27,54.46,74.96,27.4,5.5,40.37,46.41,43.62,54.86,16.43,52.79,35.9,46.93,45.68,33.34,33.02,91.14,49.17,25.29,22.12,27.24,15.87,33.03,25.58,48.04,61.55,8.09,16.82
